# Zoyla Test Results
# Exported: 2025-12-22T19:51:52.795Z
# URL: https://httpbin.org/get
# Method: GET
# Total Requests: 500
# Successful: 234
# Failed: 266
# Total Time: 4.8183s
# Requests/sec: 103.77
# Avg Response: 981.65ms
# Min Response: 0.20ms
# Max Response: 4816.42ms

request_num,status,duration_ms,success,timestamp_ms,error
206,0,32.94,false,79.73,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976492598000_458425290)"
207,0,32.97,false,79.74,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976492566000_3030199480)"
208,0,73.63,false,79.74,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451918000_2871225606)"
209,0,77.85,false,80.17,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448130000_4211651000)"
210,0,79.14,false,80.18,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976446839000_1069600153)"
211,0,33.33,false,80.54,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493016000_3790239202)"
212,0,33.26,false,80.55,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493095000_588955340)"
213,0,33.09,false,80.57,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493281000_649463070)"
214,0,33.19,false,80.58,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493194000_401428052)"
215,0,74.83,false,80.59,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451561000_2288820824)"
216,0,33.37,false,80.60,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493035000_1025316410)"
217,0,33.37,false,80.62,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493053000_3607052900)"
218,0,33.24,false,80.73,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493303000_283967131)"
